,gseID,journal,pubmed_id,title
741,notAvailable,Nature communications,27739429,
742,notAvailable,Cell stem cell,27716522,
743,notAvailable,Cell stem cell,27716520,
744,GSE76381,Cell,27716510,
745,GSE73600_GSE73580_GSE66169_GSE65520,"Science (New York, N.Y.)",27708074,
746,notAvailable,Nature communications,27701381,
747,notAvailable,eLife,27700985,
748,notAvailable,eLife,27690227,
749,notAvailable,Nature communications,27687249,
750,notAvailable,eLife,27684073,
751,GSE86207_GSE81252,eLife,27669147,
752,notAvailable,Cell,27662094,
753,GSE63161,Nature cell biology,27642787,
754,notAvailable,Cell systems,27617677,
755,notAvailable,eLife,27612383,
756,notAvailable,"Science (New York, N.Y.)",27609894,
757,notAvailable,Neuron,27608754,
758,notAvailable,Cell stem cell,27588744,
759,notAvailable,eLife,27580371,
760,GSE78907_GSE70245_GSE70244_GSE70243_GSE70242_GSE70241_GSE70240_GSE70239_GSE70238_GSE70237_GSE70236_GSE70235,Nature,27580035,
761,notAvailable,eLife,27572056,
762,notAvailable,Nature methods,27571553,
763,GSE81905_GSE81904_GSE81903_GSE81902_GSE80232,Cell,27565351,
764,notAvailable,Nature communications,27558523,
765,GSE74767,Nature,27556940,
766,notAvailable,eLife,27549338,
767,GSE85157_GSE85156_GSE85154_GSE85153_GSE85152,Cell,27545347,
768,notAvailable,Nature communications,27538785,
769,notAvailable,Immunity,27533015,
770,GSE75384_GSE74912_GSE74310_GSE74246,Nature genetics,27526324,
771,GSE52359,Cell stem cell,27524439,
772,notAvailable,Cell systems,27524104,
773,notAvailable,"Science (New York, N.Y.)",27516599,
774,notAvailable,Nature methods,27479330,
775,GSE85721_GSE84371,"Science (New York, N.Y.)",27471252,
776,notAvailable,Nature communications,27470466,
777,notAvailable,Cell systems,27426983,
778,notAvailable,Cell,27419874,
779,notAvailable,Nature,27409808,
780,GSE82103,Nature communications,27405751,
781,GSE76514,Nature communications,27387371,
782,GSE74994,Nature,27383781,
783,notAvailable,Nature communications,27378076,
784,GSE76606,Nature immunology,27376470,
785,notAvailable,Nature communications,27374071,
786,notAvailable,Nature,27357797,
787,notAvailable,Nature communications,27356503,
788,notAvailable,Nature methods,27355792,
789,notAvailable,Nature cell biology,27350443,
790,GSE81076_GSE76983_GSE76408,Cell stem cell,27345837,
791,GSE79819_GSE79818_GSE79816_GSE79812,"Science (New York, N.Y.)",27338705,
792,GSE83534_GSE83533_GSE83532,Nature medicine,27322744,
793,notAvailable,Cell,27315475,
794,notAvailable,"Science (New York, N.Y.)",27313022,
795,notAvailable,Nature communications,27306044,
796,GSE67310,Nature,27281220,
797,notAvailable,Nature communications,27240697,
798,notAvailable,Nature neuroscience,27239937,
799,GSE67123_GSE67120_GSE66954,Nature,27225119,
800,GSE74488,Cell,27212234,
801,notAvailable,Nature communications,27198043,
802,notAvailable,Nature communications,27189321,
803,notAvailable,Nature methods,27183440,
804,notAvailable,Nature methods,27183439,
805,notAvailable,Cell,27180908,
806,notAvailable,Immunity,27178470,
807,GSE78521,eLife,27177420,
808,notAvailable,Nature communications,27167753,
809,notAvailable,Cell systems,27136683,
810,notAvailable,Cell systems,27136241,
811,notAvailable,Cell systems,27135539,
812,notAvailable,Cell systems,27135537,
813,notAvailable,Cell systems,27135536,
814,notAvailable,Cell systems,27135535,
815,GSE77940_GSE72056,"Science (New York, N.Y.)",27124452,
